"","fips","state","county","population"
"701","18005","Indiana","Bartholomew County",84447
"702","18007","Indiana","Benton County",8741
"703","18009","Indiana","Blackford County",11782
"704","18011","Indiana","Boone County",69347
"705","18013","Indiana","Brown County",15112
"706","18015","Indiana","Carroll County",20228
"707","18017","Indiana","Cass County",37388
"708","18019","Indiana","Clark County",119266
"709","18021","Indiana","Clay County",26246
"710","18023","Indiana","Clinton County",32206
"711","18025","Indiana","Crawford County",10629
"712","18027","Indiana","Daviess County",33505
"713","18029","Indiana","Dearborn County",49824
"714","18031","Indiana","Decatur County",26584
"715","18033","Indiana","DeKalb County",43670
"716","18035","Indiana","Delaware County",113454
"717","18037","Indiana","Dubois County",42542
"718","18039","Indiana","Elkhart County",206161
"719","18041","Indiana","Fayette County",22892
"720","18043","Indiana","Floyd County",78936
"721","18045","Indiana","Fountain County",16511
"722","18047","Indiana","Franklin County",22761
"723","18049","Indiana","Fulton County",20018
"724","18051","Indiana","Gibson County",33825
"725","18053","Indiana","Grant County",65225
"726","18055","Indiana","Greene County",32203
"727","18057","Indiana","Hamilton County",344238
"728","18059","Indiana","Hancock County",79553
"729","18061","Indiana","Harrison County",40682
"730","18063","Indiana","Hendricks County",173251
"731","18065","Indiana","Henry County",48033
"732","18067","Indiana","Howard County",82732
"733","18069","Indiana","Huntington County",36395
"734","18071","Indiana","Jackson County",44222
"735","18073","Indiana","Jasper County",33440
"736","18075","Indiana","Jay County",20416
"737","18077","Indiana","Jefferson County",32110
"738","18079","Indiana","Jennings County",27515
"739","18081","Indiana","Johnson County",160607
"740","18083","Indiana","Knox County",36522
"741","18085","Indiana","Kosciusko County",78988
"742","18087","Indiana","LaGrange County",40119
"743","18089","Indiana","Lake County",487536
"744","18091","Indiana","LaPorte County",109663
"745","18093","Indiana","Lawrence County",45496
"746","18095","Indiana","Madison County",129681
"747","18097","Indiana","Marion County",966183
"748","18099","Indiana","Marshall County",46108
"749","18101","Indiana","Martin County",10079
"750","18103","Indiana","Miami County",35328
"751","18105","Indiana","Monroe County",148219
"752","18107","Indiana","Montgomery County",38365
"753","18109","Indiana","Morgan County",70707
"754","18111","Indiana","Newton County",13907
"755","18113","Indiana","Noble County",47832
"756","18115","Indiana","Ohio County",5892
"757","18117","Indiana","Orange County",19651
"758","18119","Indiana","Owen County",20833
"759","18121","Indiana","Parke County",16871
"760","18123","Indiana","Perry County",19154
"761","18125","Indiana","Pike County",12378
"762","18127","Indiana","Porter County",170980
"763","18129","Indiana","Posey County",25275
"764","18131","Indiana","Pulaski County",12388
"765","18133","Indiana","Putnam County",37469
"766","18135","Indiana","Randolph County",24191
"767","18137","Indiana","Ripley County",28448
"768","18139","Indiana","Rush County",16649
"769","18141","Indiana","St. Joseph County",271484
"770","18143","Indiana","Scott County",23788
"771","18145","Indiana","Shelby County",44871
"772","18147","Indiana","Spencer County",20225
"773","18149","Indiana","Starke County",23049
"774","18151","Indiana","Steuben County",34831
"775","18153","Indiana","Sullivan County",20578
"776","18155","Indiana","Switzerland County",10724
"777","18157","Indiana","Tippecanoe County",196115
"778","18159","Indiana","Tipton County",15227
"779","18161","Indiana","Union County",7119
"780","18163","Indiana","Vanderburgh County",182447
"781","18165","Indiana","Vermillion County",15329
"782","18167","Indiana","Vigo County",106608
"783","18169","Indiana","Wabash County",30784
"784","18171","Indiana","Warren County",8194
"785","18173","Indiana","Warrick County",63269
"786","18175","Indiana","Washington County",28213
"787","18177","Indiana","Wayne County",65778
"788","18179","Indiana","Wells County",28142
"789","18181","Indiana","White County",24165
"790","18183","Indiana","Whitley County",34378
"791","19001","Iowa","Adair County",7059
"792","19003","Iowa","Adams County",3588
"793","19005","Iowa","Allamakee County",13642
"794","19007","Iowa","Appanoose County",12430
"795","19009","Iowa","Audubon County",5481
"796","19011","Iowa","Benton County",25414
"797","19013","Iowa","Black Hawk County",130786
"798","19015","Iowa","Boone County",26277
"799","19017","Iowa","Bremer County",25311
"800","19019","Iowa","Buchanan County",21287
"801","19021","Iowa","Buena Vista County",19772
"802","19023","Iowa","Butler County",14333
"803","19025","Iowa","Calhoun County",9473
"804","19027","Iowa","Carroll County",19914
"805","19029","Iowa","Cass County",12817
"806","19031","Iowa","Cedar County",18485
"807","19033","Iowa","Cerro Gordo County",42103
"808","19035","Iowa","Cherokee County",11190
"809","19037","Iowa","Chickasaw County",11834
"810","19039","Iowa","Clarke County",9353
"811","19041","Iowa","Clay County",15976
"812","19043","Iowa","Clayton County",17321
"813","19045","Iowa","Clinton County",46392
"814","19047","Iowa","Crawford County",16834
"815","19049","Iowa","Dallas County",96963
"816","19051","Iowa","Davis County",9051
"817","19053","Iowa","Decatur County",7769
"818","19055","Iowa","Delaware County",16937
"819","19057","Iowa","Des Moines County",38708
"820","19059","Iowa","Dickinson County",17549
"821","19061","Iowa","Dubuque County",97590
"822","19063","Iowa","Emmet County",9095
"823","19065","Iowa","Fayette County",19258
"824","19067","Iowa","Floyd County",15480
"825","19069","Iowa","Franklin County",9971
"826","19071","Iowa","Fremont County",6729
"827","19073","Iowa","Greene County",8795
"828","19075","Iowa","Grundy County",12217
"829","19077","Iowa","Guthrie County",10737
"830","19079","Iowa","Hamilton County",14716
"831","19081","Iowa","Hancock County",10507
"832","19083","Iowa","Hardin County",16575
"833","19085","Iowa","Harrison County",13928
"834","19087","Iowa","Henry County",19697
"835","19089","Iowa","Howard County",9176
"836","19091","Iowa","Humboldt County",9473
"837","19093","Iowa","Ida County",6833
"838","19095","Iowa","Iowa County",16138
"839","19097","Iowa","Jackson County",19205
"840","19099","Iowa","Jasper County",37148
"841","19101","Iowa","Jefferson County",18347
"842","19103","Iowa","Johnson County",153740
"843","19105","Iowa","Jones County",20617
"844","19107","Iowa","Keokuk County",10085
"845","19109","Iowa","Kossuth County",14680
"846","19111","Iowa","Lee County",33480
"847","19113","Iowa","Linn County",227854
"848","19115","Iowa","Louisa County",11011
"849","19117","Iowa","Lucas County",8518
"850","19119","Iowa","Lyon County",11756
"851","19121","Iowa","Madison County",16521
"852","19123","Iowa","Mahaska County",22370
"853","19125","Iowa","Marion County",33168
"854","19127","Iowa","Marshall County",39495
"855","19129","Iowa","Mills County",14766
"856","19131","Iowa","Mitchell County",10647
"857","19133","Iowa","Monona County",8598
"858","19135","Iowa","Monroe County",7770
"859","19137","Iowa","Montgomery County",9935
"860","19139","Iowa","Muscatine County",42394
"861","19141","Iowa","O'Brien County",13679
"862","19143","Iowa","Osceola County",5987
"863","19145","Iowa","Page County",15073
"864","19147","Iowa","Palo Alto County",8845
"865","19149","Iowa","Plymouth County",25219
"866","19151","Iowa","Pocahontas County",6607
"867","19153","Iowa","Polk County",494281
"868","19155","Iowa","Pottawattamie County",93328
"869","19157","Iowa","Poweshiek County",18381
"870","19159","Iowa","Ringgold County",4801
"871","19161","Iowa","Sac County",9603
"872","19163","Iowa","Scott County",173216
"873","19165","Iowa","Shelby County",11430
"874","19167","Iowa","Sioux County",35043
"875","19169","Iowa","Story County",98237
"876","19171","Iowa","Tama County",16801
"877","19173","Iowa","Taylor County",6092
"878","19175","Iowa","Union County",12157
"879","19177","Iowa","Van Buren County",7069
"880","19179","Iowa","Wapello County",34985
"881","19181","Iowa","Warren County",52265
"882","19183","Iowa","Washington County",21992
"883","19185","Iowa","Wayne County",6415
"884","19187","Iowa","Webster County",35934
"885","19189","Iowa","Winnebago County",10277
"886","19191","Iowa","Winneshiek County",19862
"887","19193","Iowa","Woodbury County",103138
"888","19195","Iowa","Worth County",7359
"889","19197","Iowa","Wright County",12416
"890","20001","Kansas","Allen County",12399
"891","20003","Kansas","Anderson County",7949
"892","20005","Kansas","Atchison County",16015
"893","20007","Kansas","Barber County",4358
"894","20009","Kansas","Barton County",25658
"895","20011","Kansas","Bourbon County",14435
"896","20013","Kansas","Brown County",9482
"897","20015","Kansas","Butler County",66992
"898","20017","Kansas","Chase County",2586
"899","20019","Kansas","Chautauqua County",3230
"900","20021","Kansas","Cherokee County",19681
"901","20023","Kansas","Cheyenne County",2600
"902","20025","Kansas","Clark County",1963
"903","20027","Kansas","Clay County",8025
"904","20029","Kansas","Cloud County",8642
"905","20031","Kansas","Coffey County",8158
"906","20033","Kansas","Comanche County",1690
"907","20035","Kansas","Cowley County",34628
"908","20037","Kansas","Crawford County",38730
"909","20039","Kansas","Decatur County",2776
"910","20041","Kansas","Dickinson County",18266
"911","20043","Kansas","Doniphan County",7496
"912","20045","Kansas","Douglas County",122530
"913","20047","Kansas","Edwards County",2750
"914","20049","Kansas","Elk County",2507
"915","20051","Kansas","Ellis County",28671
"916","20053","Kansas","Ellsworth County",6034
"917","20055","Kansas","Finney County",35917
"918","20057","Kansas","Ford County",33094
"919","20059","Kansas","Franklin County",25703
"920","20061","Kansas","Geary County",32218
"921","20063","Kansas","Gove County",2621
"922","20065","Kansas","Graham County",2389
"923","20067","Kansas","Grant County",7077
"924","20069","Kansas","Gray County",5954
"925","20071","Kansas","Greeley County",1196
"926","20073","Kansas","Greenwood County",5868
"927","20075","Kansas","Hamilton County",2425
"928","20077","Kansas","Harper County",5336
"929","20079","Kansas","Harvey County",34291
"930","20081","Kansas","Haskell County",3923
"931","20083","Kansas","Hodgeman County",1779
"932","20085","Kansas","Jackson County",13171
"933","20087","Kansas","Jefferson County",19032
"934","20089","Kansas","Jewell County",2833
"935","20091","Kansas","Johnson County",607220
"936","20093","Kansas","Kearny County",3745
"937","20095","Kansas","Kingman County",6974
"938","20097","Kansas","Kiowa County",2456
"939","20099","Kansas","Labette County",19586
"940","20101","Kansas","Lane County",1518
"941","20103","Kansas","Leavenworth County",82246
"942","20105","Kansas","Lincoln County",2986
"943","20107","Kansas","Linn County",9654
"944","20109","Kansas","Logan County",2732
"945","20111","Kansas","Lyon County",33045
"946","20113","Kansas","McPherson County",28448
"947","20115","Kansas","Marion County",11652
"948","20117","Kansas","Marshall County",9652
"949","20119","Kansas","Meade County",4029
"950","20121","Kansas","Miami County",34334
"951","20123","Kansas","Mitchell County",5879
"952","20125","Kansas","Montgomery County",31502
"953","20127","Kansas","Morris County",5559
"954","20129","Kansas","Morton County",2538
"955","20131","Kansas","Nemaha County",10121
"956","20133","Kansas","Neosho County",15929
"957","20135","Kansas","Ness County",2768
"958","20137","Kansas","Norton County",5328
"959","20139","Kansas","Osage County",15770
"960","20141","Kansas","Osborne County",3439
"961","20143","Kansas","Ottawa County",5712
"962","20145","Kansas","Pawnee County",6366
"963","20147","Kansas","Phillips County",5181
"964","20149","Kansas","Pottawatomie County",24722
"965","20151","Kansas","Pratt County",9127
"966","20153","Kansas","Rawlins County",2511
"967","20155","Kansas","Reno County",61793
"968","20157","Kansas","Republic County",4536
"969","20159","Kansas","Rice County",9362
"970","20161","Kansas","Riley County",73202
"971","20163","Kansas","Rooks County",4827
"972","20165","Kansas","Rush County",2947
"973","20167","Kansas","Russell County",6804
"974","20169","Kansas","Saline County",53926
"975","20171","Kansas","Scott County",4790
"976","20173","Kansas","Sedgwick County",519907
"977","20175","Kansas","Seward County",21038
"978","20177","Kansas","Shawnee County",175999
"979","20179","Kansas","Sheridan County",2520
"980","20181","Kansas","Sherman County",5777
"981","20183","Kansas","Smith County",3544
"982","20185","Kansas","Stafford County",4046
"983","20187","Kansas","Stanton County",1969
"984","20189","Kansas","Stevens County",5388
"985","20191","Kansas","Sumner County",22578
"986","20193","Kansas","Thomas County",7702
"987","20195","Kansas","Trego County",2758
"988","20197","Kansas","Wabaunsee County",6906
"989","20199","Kansas","Wallace County",1536
"990","20201","Kansas","Washington County",5427
"991","20203","Kansas","Wichita County",2074
"992","20205","Kansas","Wilson County",8362
"993","20207","Kansas","Woodson County",3015
"994","20209","Kansas","Wyandotte County",165265
"995","21001","Kentucky","Adair County",19555
"996","21003","Kentucky","Allen County",21303
"997","21005","Kentucky","Anderson County",22833
"998","21007","Kentucky","Ballard County",7769
"999","21009","Kentucky","Barren County",44300
"1000","21011","Kentucky","Bath County",12481
"1001","21013","Kentucky","Bell County",25482
"1002","21015","Kentucky","Boone County",135396
"1003","21017","Kentucky","Bourbon County",19901
"1004","21019","Kentucky","Boyd County",46516
"1005","21021","Kentucky","Boyle County",30367
"1006","21023","Kentucky","Bracken County",8286
"1007","21025","Kentucky","Breathitt County",12550
"1008","21027","Kentucky","Breckinridge County",20537
"1009","21029","Kentucky","Bullitt County",82182
"1010","21031","Kentucky","Butler County",12703
"1011","21033","Kentucky","Caldwell County",12687
"1012","21035","Kentucky","Calloway County",39300
"1013","21037","Kentucky","Campbell County",94020
"1014","21039","Kentucky","Carlisle County",4692
"1015","21041","Kentucky","Carroll County",10730
"1016","21043","Kentucky","Carter County",26542
"1017","21045","Kentucky","Casey County",16066
"1018","21047","Kentucky","Christian County",71478
"1019","21049","Kentucky","Clark County",36463
"1020","21051","Kentucky","Clay County",19631
"1021","21053","Kentucky","Clinton County",10110
"1022","21055","Kentucky","Crittenden County",8847
"1023","21057","Kentucky","Cumberland County",6523
"1024","21059","Kentucky","Daviess County",101978
"1025","21061","Kentucky","Edmonson County",12235
"1026","21063","Kentucky","Elliott County",7372
"1027","21065","Kentucky","Estill County",14109
"1028","21067","Kentucky","Fayette County",324735
"1029","21069","Kentucky","Fleming County",14603
"1030","21071","Kentucky","Floyd County",34974
"1031","21073","Kentucky","Franklin County",51118
"1032","21075","Kentucky","Fulton County",5952
"1033","21077","Kentucky","Gallatin County",8779
"1034","21079","Kentucky","Garrard County",17719
"1035","21081","Kentucky","Grant County",25387
"1036","21083","Kentucky","Graves County",36818
"1037","21085","Kentucky","Grayson County",26480
"1038","21087","Kentucky","Green County",10995
"1039","21089","Kentucky","Greenup County",34865
"1040","21091","Kentucky","Hancock County",8742
"1041","21093","Kentucky","Hardin County",111309
"1042","21095","Kentucky","Harlan County",25566
"1043","21097","Kentucky","Harrison County",18920
"1044","21099","Kentucky","Hart County",19013
"1045","21101","Kentucky","Henderson County",44740
"1046","21103","Kentucky","Henry County",16067
"1047","21105","Kentucky","Hickman County",4364
"1048","21107","Kentucky","Hopkins County",44662
"1049","21109","Kentucky","Jackson County",13340
"1050","21111","Kentucky","Jefferson County",767452
"1051","21113","Kentucky","Jessamine County",54057
"1052","21115","Kentucky","Johnson County",22002
"1053","21117","Kentucky","Kenton County",167949
"1054","21119","Kentucky","Knott County",14512
"1055","21121","Kentucky","Knox County",31022
"1056","21123","Kentucky","Larue County",14431
"1057","21125","Kentucky","Laurel County",61238
"1058","21127","Kentucky","Lawrence County",15436
"1059","21129","Kentucky","Lee County",7268
"1060","21131","Kentucky","Leslie County",9637
"1061","21133","Kentucky","Letcher County",21213
"1062","21135","Kentucky","Lewis County",13262
"1063","21137","Kentucky","Lincoln County",24466
"1064","21139","Kentucky","Livingston County",9041
"1065","21141","Kentucky","Logan County",27416
"1066","21143","Kentucky","Lyon County",8133
"1067","21145","Kentucky","McCracken County",65644
"1068","21147","Kentucky","McCreary County",17071
"1069","21149","Kentucky","McLean County",9075
"1070","21151","Kentucky","Madison County",94265
"1071","21153","Kentucky","Magoffin County",12017
"1072","21155","Kentucky","Marion County",19314
"1073","21157","Kentucky","Marshall County",31163
"1074","21159","Kentucky","Martin County",11031
"1075","21161","Kentucky","Mason County",17035
"1076","21163","Kentucky","Meade County",28616
"1077","21165","Kentucky","Menifee County",6502
"1078","21167","Kentucky","Mercer County",21889
"1079","21169","Kentucky","Metcalfe County",10058
"1080","21171","Kentucky","Monroe County",10549
"1081","21173","Kentucky","Montgomery County",28186
"1082","21175","Kentucky","Morgan County",13142
"1083","21177","Kentucky","Muhlenberg County",30457
"1084","21179","Kentucky","Nelson County",46450
"1085","21181","Kentucky","Nicholas County",7234
"1086","21183","Kentucky","Ohio County",23899
"1087","21185","Kentucky","Oldham County",66999
"1088","21187","Kentucky","Owen County",11017
"1089","21189","Kentucky","Owsley County",4331
"1090","21191","Kentucky","Pendleton County",14586
"1091","21193","Kentucky","Perry County",25456
"1092","21195","Kentucky","Pike County",57057
"1093","21197","Kentucky","Powell County",12218
"1094","21199","Kentucky","Pulaski County",65530
"1095","21201","Kentucky","Robertson County",2136
"1096","21203","Kentucky","Rockcastle County",16750
"1097","21205","Kentucky","Rowan County",24682
"1098","21207","Kentucky","Russell County",17998
"1099","21209","Kentucky","Scott County",58470
"1100","21211","Kentucky","Shelby County",49611
"1101","21213","Kentucky","Simpson County",18635
"1102","21215","Kentucky","Spencer County",19585
"1103","21217","Kentucky","Taylor County",25707
"1104","21219","Kentucky","Todd County",12448
"1105","21221","Kentucky","Trigg County",14776
"1106","21223","Kentucky","Trimble County",8481
"1107","21225","Kentucky","Union County",14443
"1108","21227","Kentucky","Warren County",134510
"1109","21229","Kentucky","Washington County",12147
"1110","21231","Kentucky","Wayne County",20209
"1111","21233","Kentucky","Webster County",12923
"1112","21235","Kentucky","Whitley County",36451
"1113","21237","Kentucky","Wolfe County",7106
"1114","21239","Kentucky","Woodford County",26765
"1115","22001","Louisiana","Acadia Parish",61918
"1116","22003","Louisiana","Allen Parish",25440
"1117","22005","Louisiana","Ascension Parish",128665
"1118","22007","Louisiana","Assumption Parish",21621
"1119","22009","Louisiana","Avoyelles Parish",39966
"1120","22011","Louisiana","Beauregard Parish",37881
"1121","22013","Louisiana","Bienville Parish",12983
"1122","22015","Louisiana","Bossier Parish",127275
"1123","22017","Louisiana","Caddo Parish",237479
"1124","22019","Louisiana","Calcasieu Parish",203310
"1125","22021","Louisiana","Caldwell Parish",9839
"1126","22023","Louisiana","Cameron Parish",7003
"1127","22025","Louisiana","Catahoula Parish",9226
"1128","22027","Louisiana","Claiborne Parish",15508
"1129","22029","Louisiana","Concordia Parish",18914
"1130","22031","Louisiana","De Soto Parish",27650
"1131","22033","Louisiana","East Baton Rouge Parish",439729
"1132","22035","Louisiana","East Carroll Parish",6589
"1133","22037","Louisiana","East Feliciana Parish",18882
"1134","22039","Louisiana","Evangeline Parish",33276
"1135","22041","Louisiana","Franklin Parish",19723
"1136","22043","Louisiana","Grant Parish",22254
"1137","22045","Louisiana","Iberia Parish",68991
"1138","22047","Louisiana","Iberville Parish",32070
"1139","22049","Louisiana","Jackson Parish",15574
"1140","22051","Louisiana","Jefferson Parish",432346
"1141","22053","Louisiana","Jefferson Davis Parish",31208
"1142","22055","Louisiana","Lafayette Parish",246518
"1143","22057","Louisiana","Lafourche Parish",97596
"1144","22059","Louisiana","LaSalle Parish",15021
"1145","22061","Louisiana","Lincoln Parish",46552
"1146","22063","Louisiana","Livingston Parish",143737
"1147","22065","Louisiana","Madison Parish",10635
"1148","22067","Louisiana","Morehouse Parish",24227
"1149","22069","Louisiana","Natchitoches Parish",37655
"1150","22071","Louisiana","Orleans Parish",389476
"1151","22073","Louisiana","Ouachita Parish",152439
"1152","22075","Louisiana","Plaquemines Parish",23113
"1153","22077","Louisiana","Pointe Coupee Parish",21529
"1154","22079","Louisiana","Rapides Parish",128567
"1155","22081","Louisiana","Red River Parish",8286
"1156","22083","Louisiana","Richland Parish",20014
"1157","22085","Louisiana","Sabine Parish",23803
"1158","22087","Louisiana","St. Bernard Parish",47647
"1159","22089","Louisiana","St. Charles Parish",52987
"1160","22091","Louisiana","St. Helena Parish",10081
"1161","22093","Louisiana","St. James Parish",20727
"1162","22095","Louisiana","St. John the Baptist Parish",42516
"1163","22097","Louisiana","St. Landry Parish",81440
"1164","22099","Louisiana","St. Martin Parish",52954
"1165","22101","Louisiana","St. Mary Parish",48330
"1166","22103","Louisiana","St. Tammany Parish",263446
"1167","22105","Louisiana","Tangipahoa Parish",136765
"1168","22107","Louisiana","Tensas Parish",4178
"1169","22109","Louisiana","Terrebonne Parish",109859
"1170","22111","Louisiana","Union Parish",22170
"1171","22113","Louisiana","Vermilion Parish",59378
"1172","22115","Louisiana","Vernon Parish",47894
"1173","22117","Louisiana","Washington Parish",45773
"1174","22119","Louisiana","Webster Parish",37943
"1175","22121","Louisiana","West Baton Rouge Parish",26792
"1176","22123","Louisiana","West Carroll Parish",10646
"1177","22125","Louisiana","West Feliciana Parish",15465
"1178","22127","Louisiana","Winn Parish",13839
"1179","23001","Maine","Androscoggin County",108547
"1180","23003","Maine","Aroostook County",66804
"1181","23005","Maine","Cumberland County",298111
"1182","23007","Maine","Franklin County",29986
"1183","23009","Maine","Hancock County",55088
"1184","23011","Maine","Kennebec County",122955
"1185","23013","Maine","Knox County",39951
"1186","23015","Maine","Lincoln County",34775
"1187","23017","Maine","Oxford County",58132
"1188","23019","Maine","Penobscot County",151655
"1189","23021","Maine","Piscataquis County",16996
"1190","23023","Maine","Sagadahoc County",36044
"1191","23025","Maine","Somerset County",50635
"1192","23027","Maine","Waldo County",39923
"1193","23029","Maine","Washington County",31473
"1194","23031","Maine","York County",209066
"1195","24001","Maryland","Allegany County",70057
"1196","24003","Maryland","Anne Arundel County",582777
"1197","24005","Maryland","Baltimore County",826017
"1198","24009","Maryland","Calvert County",93072
"1199","24011","Maryland","Caroline County",33492
"1200","24013","Maryland","Carroll County",169092
"1201","24015","Maryland","Cecil County",103419
"1202","24017","Maryland","Charles County",164436
"1203","24019","Maryland","Dorchester County",31853
"1204","24021","Maryland","Frederick County",265161
"1205","24023","Maryland","Garrett County",28852
"1206","24025","Maryland","Harford County",256805
"1207","24027","Maryland","Howard County",328200
"1208","24029","Maryland","Kent County",19192
"1209","24031","Maryland","Montgomery County",1051816
"1210","24033","Maryland","Prince George's County",909612
"1211","24035","Maryland","Queen Anne's County",51167
"1212","24037","Maryland","St. Mary's County",114687
"1213","24039","Maryland","Somerset County",25453
"1214","24041","Maryland","Talbot County",36972
"1215","24043","Maryland","Washington County",151146
"1216","24045","Maryland","Wicomico County",103990
"1217","24047","Maryland","Worcester County",52403
"1218","24510","Maryland","Baltimore city",586131
"1219","25001","Massachusetts","Barnstable County",213164
"1220","25003","Massachusetts","Berkshire County",124571
"1221","25005","Massachusetts","Bristol County",566765
"1222","25007","Massachusetts","Dukes County",17461
"1223","25009","Massachusetts","Essex County",791263
"1224","25011","Massachusetts","Franklin County",70267
"1225","25013","Massachusetts","Hampden County",463986
"1226","25015","Massachusetts","Hampshire County",161401
"1227","25017","Massachusetts","Middlesex County",1609379
"1228","25019","Massachusetts","Nantucket County",11376
"1229","25021","Massachusetts","Norfolk County",709409
"1230","25023","Massachusetts","Plymouth County",523738
"1231","25025","Massachusetts","Suffolk County",801582
"1232","25027","Massachusetts","Worcester County",829212
"1233","26001","Michigan","Alcona County",10505
"1234","26003","Michigan","Alger County",9015
"1235","26005","Michigan","Allegan County",118927
"1236","26007","Michigan","Alpena County",28238
"1237","26009","Michigan","Antrim County",23449
"1238","26011","Michigan","Arenac County",14953
"1239","26013","Michigan","Baraga County",8164
"1240","26015","Michigan","Barry County",62061
"1241","26017","Michigan","Bay County",102387
"1242","26019","Michigan","Benzie County",17852
"1243","26021","Michigan","Berrien County",153025
"1244","26023","Michigan","Branch County",43424
"1245","26025","Michigan","Calhoun County",133580
"1246","26027","Michigan","Cass County",51584
"1247","26029","Michigan","Charlevoix County",26105
"1248","26031","Michigan","Cheboygan County",25365
"1249","26033","Michigan","Chippewa County",36958
"1250","26035","Michigan","Clare County",30771
"1251","26037","Michigan","Clinton County",79753
"1252","26039","Michigan","Crawford County",13981
"1253","26041","Michigan","Delta County",35612
"1254","26043","Michigan","Dickinson County",25112
"1255","26045","Michigan","Eaton County",110148
"1256","26047","Michigan","Emmet County",33342
"1257","26049","Michigan","Genesee County",404794
"1258","26051","Michigan","Gladwin County",25424
"1259","26053","Michigan","Gogebic County",13842
"1260","26055","Michigan","Grand Traverse County",93592
"1261","26057","Michigan","Gratiot County",40283
"1262","26059","Michigan","Hillsdale County",45658
"1263","26061","Michigan","Houghton County",35126
"1264","26063","Michigan","Huron County",30653
"1265","26065","Michigan","Ingham County",290609
"1266","26067","Michigan","Ionia County",64553
"1267","26069","Michigan","Iosco County",25140
"1268","26071","Michigan","Iron County",11066
"1269","26073","Michigan","Isabella County",69504
"1270","26075","Michigan","Jackson County",156920
"1271","26077","Michigan","Kalamazoo County",265988
"1272","26079","Michigan","Kalkaska County",18003
"1273","26081","Michigan","Kent County",658708
"1274","26083","Michigan","Keweenaw County",2119
"1275","26085","Michigan","Lake County",11587
"1276","26087","Michigan","Lapeer County",87635
"1277","26089","Michigan","Leelanau County",21743
"1278","26091","Michigan","Lenawee County",97808
"1279","26093","Michigan","Livingston County",192335
"1280","26095","Michigan","Luce County",6126
"1281","26097","Michigan","Mackinac County",10839
"1282","26099","Michigan","Macomb County",870791
"1283","26101","Michigan","Manistee County",24738
"1284","26103","Michigan","Marquette County",65834
"1285","26105","Michigan","Mason County",29164
"1286","26107","Michigan","Mecosta County",43907
"1287","26109","Michigan","Menominee County",22608
"1288","26111","Michigan","Midland County",83441
"1289","26113","Michigan","Missaukee County",15152
"1290","26115","Michigan","Monroe County",150568
"1291","26117","Michigan","Montcalm County",63476
"1292","26119","Michigan","Montmorency County",9337
"1293","26121","Michigan","Muskegon County",173883
"1294","26123","Michigan","Newaygo County",49348
"1295","26125","Michigan","Oakland County",1253459
"1296","26127","Michigan","Oceana County",26819
"1297","26129","Michigan","Ogemaw County",20923
"1298","26131","Michigan","Ontonagon County",5656
"1299","26133","Michigan","Osceola County",23466
"1300","26135","Michigan","Oscoda County",8368
"1301","26137","Michigan","Otsego County",24765
"1302","26139","Michigan","Ottawa County",294635
"1303","26141","Michigan","Presque Isle County",12665
"1304","26143","Michigan","Roscommon County",23986
"1305","26145","Michigan","Saginaw County",189868
"1306","26147","Michigan","St. Clair County",159293
"1307","26149","Michigan","St. Joseph County",60848
"1308","26151","Michigan","Sanilac County",40747
"1309","26153","Michigan","Schoolcraft County",8104
"1310","26155","Michigan","Shiawassee County",67738
"1311","26157","Michigan","Tuscola County",52289
"1312","26159","Michigan","Van Buren County",75474
"1313","26161","Michigan","Washtenaw County",366473
"1314","26163","Michigan","Wayne County",1740623
"1315","26165","Michigan","Wexford County",33743
"1316","27001","Minnesota","Aitkin County",15848
"1317","27003","Minnesota","Anoka County",359921
"1318","27005","Minnesota","Becker County",34456
"1319","27007","Minnesota","Beltrami County",47442
"1320","27009","Minnesota","Benton County",40958
"1321","27011","Minnesota","Big Stone County",4923
"1322","27013","Minnesota","Blue Earth County",68241
"1323","27015","Minnesota","Brown County",24846
"1324","27017","Minnesota","Carlton County",35769
"1325","27019","Minnesota","Carver County",106565
"1326","27021","Minnesota","Cass County",29928
"1327","27023","Minnesota","Chippewa County",11758
"1328","27025","Minnesota","Chisago County",56794
"1329","27027","Minnesota","Clay County",64690
"1330","27029","Minnesota","Clearwater County",9017
"1331","27031","Minnesota","Cook County",5417
"1332","27033","Minnesota","Cottonwood County",11242
"1333","27035","Minnesota","Crow Wing County",65644
"1334","27037","Minnesota","Dakota County",431807
"1335","27039","Minnesota","Dodge County",20987
"1336","27041","Minnesota","Douglas County",38328
"1337","27043","Minnesota","Faribault County",13601
"1338","27045","Minnesota","Fillmore County",21135
"1339","27047","Minnesota","Freeborn County",30364
"1340","27049","Minnesota","Goodhue County",46318
"1341","27051","Minnesota","Grant County",6026
"1342","27053","Minnesota","Hennepin County",1268408
"1343","27055","Minnesota","Houston County",18632
"1344","27057","Minnesota","Hubbard County",21783
"1345","27059","Minnesota","Isanti County",41429
"1346","27061","Minnesota","Itasca County",45268
"1347","27063","Minnesota","Jackson County",9768
"1348","27065","Minnesota","Kanabec County",16416
"1349","27067","Minnesota","Kandiyohi County",43130
"1350","27069","Minnesota","Kittson County",4214
"1351","27071","Minnesota","Koochiching County",12059
"1352","27073","Minnesota","Lac qui Parle County",6527
"1353","27075","Minnesota","Lake County",10639
"1354","27077","Minnesota","Lake of the Woods County",3754
"1355","27079","Minnesota","Le Sueur County",28741
"1356","27081","Minnesota","Lincoln County",5568
"1357","27083","Minnesota","Lyon County",25271
